# item	Ave.	S.D.
########################

X	3.1215	2.3685
Y	3.1198	2.3274
Z	5.0504	3.6723
#####
E2E	7.6444	3.3255
<R^2>^1/2	8.3364	7.6664
#####
bond_Chain	1.0079	0.1387
bond_JP-Chn	1.0076	0.1386
#####
angle_AAA	89.5732	39.1698
#####
