# Histgram data:
# Arg. Con.	Freq.

0.807995	1.0
0.8099850000000002	2.0
0.8119750000000001	0.0
0.813965	0.0
0.815955	5.0
0.8179450000000001	6.0
0.8199350000000001	8.0
0.821925	5.0
0.8239150000000002	11.0
0.8259050000000001	13.0
0.827895	13.0
0.829885	20.0
0.8318750000000001	16.0
0.8338650000000001	32.0
0.835855	30.0
0.8378450000000002	35.0
0.8398350000000001	49.0
0.841825	54.0
0.843815	82.0
0.8458050000000001	83.0
0.8477950000000001	93.0
0.849785	118.0
0.8517750000000002	155.0
0.8537650000000001	177.0
0.855755	257.0
0.857745	300.0
0.8597350000000001	336.0
0.8617250000000001	392.0
0.863715	459.0
0.8657050000000002	501.0
0.8676950000000001	617.0
0.869685	724.0
0.871675	824.0
0.8736650000000001	924.0
0.8756550000000001	981.0
0.877645	1085.0
0.8796350000000002	1233.0
0.8816250000000001	1503.0
0.883615	1648.0
0.885605	1849.0
0.8875950000000001	2013.0
0.8895850000000001	2181.0
0.891575	2422.0
0.8935650000000002	2661.0
0.8955550000000001	2761.0
0.897545	2894.0
0.899535	3017.0
0.9015250000000001	3138.0
0.9035150000000001	3285.0
0.905505	3432.0
0.9074950000000002	3430.0
0.9094850000000001	3404.0
0.911475	3558.0
0.913465	3417.0
0.9154550000000001	3376.0
0.9174450000000001	3459.0
0.919435	3387.0
0.9214250000000002	3163.0
0.9234150000000001	3036.0
0.925405	2796.0
0.927395	2671.0
0.9293850000000001	2364.0
0.9313750000000001	2164.0
0.933365	1882.0
0.9353550000000002	1680.0
0.9373450000000001	1550.0
0.939335	1300.0
0.941325	1120.0
0.9433150000000001	934.0
0.9453050000000001	762.0
0.947295	599.0
0.9492850000000002	545.0
0.9512750000000001	544.0
0.953265	498.0
0.955255	441.0
0.9572450000000001	502.0
0.9592350000000001	585.0
0.961225	693.0
0.9632150000000002	840.0
0.9652050000000001	1039.0
0.967195	1476.0
0.969185	1670.0
0.9711750000000001	2209.0
0.9731650000000001	2680.0
0.975155	3365.0
0.9771450000000002	4096.0
0.9791350000000001	4888.0
0.981125	5956.0
0.983115	6879.0
0.9851050000000001	8147.0
0.9870950000000001	9521.0
0.989085	10706.0
0.9910750000000002	12248.0
0.9930650000000001	13896.0
0.995055	15363.0
0.997045	16430.0
0.9990350000000001	17507.0
1.001025	18715.0
1.003015	19504.0
1.0050050000000001	226560.0
