# Histgram data:
# Arg. Con.	Freq.

1.0067	4322.0
1.0081000000000002	0.0
1.0095	0.0
1.0109	0.0
1.0123000000000002	0.0
1.0137	0.0
1.0151	0.0
1.0165000000000002	0.0
1.0179	0.0
1.0192999999999999	0.0
1.0207000000000002	0.0
1.0221	0.0
1.0234999999999999	0.0
1.0249000000000001	0.0
1.0263	0.0
1.0276999999999998	0.0
1.0291000000000001	0.0
1.0305	0.0
1.0318999999999998	0.0
1.0333	0.0
1.0347	0.0
1.0361000000000002	0.0
1.0375	0.0
1.0389	0.0
1.0403000000000002	0.0
1.0417	0.0
1.0431	0.0
1.0445000000000002	0.0
1.0459	0.0
1.0473	0.0
1.0487000000000002	0.0
1.0501	0.0
1.0514999999999999	0.0
1.0529000000000002	0.0
1.0543	0.0
1.0556999999999999	0.0
1.0571000000000002	0.0
1.0585	0.0
1.0598999999999998	0.0
1.0613000000000001	0.0
1.0627	0.0
1.0640999999999998	0.0
1.0655000000000001	0.0
1.0669	0.0
1.0682999999999998	0.0
1.0697	0.0
1.0711	0.0
1.0724999999999998	0.0
1.0739	0.0
1.0753	0.0
1.0767000000000002	0.0
1.0781	0.0
1.0795	0.0
1.0809000000000002	0.0
1.0823	0.0
1.0836999999999999	0.0
1.0851000000000002	0.0
1.0865	0.0
1.0878999999999999	0.0
1.0893000000000002	0.0
1.0907	0.0
1.0920999999999998	0.0
1.0935000000000001	0.0
1.0949	0.0
1.0962999999999998	0.0
1.0977000000000001	0.0
1.0991	0.0
1.1004999999999998	0.0
1.1019	0.0
1.1033	0.0
1.1046999999999998	0.0
1.1061	0.0
1.1075	0.0
1.1088999999999998	0.0
1.1103	0.0
1.1117	0.0
1.1131000000000002	0.0
1.1145	0.0
1.1159	0.0
1.1173000000000002	0.0
1.1187	0.0
1.1200999999999999	0.0
1.1215000000000002	0.0
1.1229	0.0
1.1242999999999999	0.0
1.1257000000000001	0.0
1.1271	0.0
1.1284999999999998	0.0
1.1299000000000001	0.0
1.1313	0.0
1.1326999999999998	0.0
1.1341	0.0
1.1355	0.0
1.1368999999999998	0.0
1.1383	0.0
1.1397	0.0
1.1410999999999998	0.0
1.1425	0.0
1.1439	0.0
1.1452999999999998	678.0
