# item	Ave.	S.D.
########################

X	3.1346	2.2876
Y	2.9556	2.2116
Z	5.623	3.9563
#####
E2E	8.0228	3.4046
<R^2>^1/2	8.7153	7.9285
#####
bond_JP-Chn	1.0081	0.1388
bond_Chain	1.008	0.1387
#####
angle_AAA	89.409	39.1691
#####
