# Time	Domain Ratio

0.0	1.0
30.0	0.973461478577
60.0	0.956430014652
90.0	0.928107057137
120.0	0.925370868577
150.0	0.909674012647
180.0	0.904992403764
210.0	0.889396730295
240.0	0.885663083976
270.0	0.876103671644
300.0	0.87369878649
330.0	0.869284541035
360.0	0.859430854715
390.0	0.857314317023
420.0	0.851153807161
450.0	0.844664761573
480.0	0.841600865018
510.0	0.827852065153
540.0	0.821342652614
570.0	0.810655715038
600.0	0.808906114861
630.0	0.802719173147
660.0	0.799201572159
690.0	0.795329898416
720.0	0.788989079769
750.0	0.779356769243
780.0	0.768592826783
810.0	0.762007676196
840.0	0.758535967706
870.0	0.750039247674
900.0	0.740772964924
930.0	0.731305702868
960.0	0.723773125292
990.0	0.712221227058
1020.0	0.705505689485
1050.0	0.703987470861
1080.0	0.697271757681
1110.0	0.69442944175
1140.0	0.690277193671
1170.0	0.679796552241
1200.0	0.676925637896
1230.0	0.672827935915
1260.0	0.665546022983
1290.0	0.66259960709
1320.0	0.656783108406
1350.0	0.652597463605
1380.0	0.642147398783
1410.0	0.625939073312
1440.0	0.620279958074
1470.0	0.61575144761
1500.0	0.610591910944
1530.0	0.604412580947
1560.0	0.598866336143
1590.0	0.589922122065
1620.0	0.587986192497
1650.0	0.582953312358
1680.0	0.578960922037
1710.0	0.575732012312
1740.0	0.574681344598
1770.0	0.56845087911
1800.0	0.566454541422
1830.0	0.554888178257
1860.0	0.54784916358
1890.0	0.54485280937
1920.0	0.538732576718
1950.0	0.523005745463
1980.0	0.519570896142
2010.0	0.514027391091
2040.0	0.506856791879
2070.0	0.503137555919
2100.0	0.495117581755
2130.0	0.488344767532
2160.0	0.486952285522
2190.0	0.479658563539
2220.0	0.476267796634
2250.0	0.468830800478
2280.0	0.463520008311
2310.0	0.445991466595
2340.0	0.436184266033
2370.0	0.432081734699
2400.0	0.430668220808
2430.0	0.429111788768
2460.0	0.426623571461
2490.0	0.421190003047
2520.0	0.416678393258
2550.0	0.407142208764
2580.0	0.403314437692
2610.0	0.400346477537
2640.0	0.394130955273
2670.0	0.386249692111
2700.0	0.379811660408
2730.0	0.373490043962
2760.0	0.369168882979
2790.0	0.365679445181
2820.0	0.361461783172
2850.0	0.354253570089
2880.0	0.349265069044
2910.0	0.343352950457
2940.0	0.33992638424
2970.0	0.332930517383
3000.0	0.329634667562
3030.0	0.327150244834
3060.0	0.320466191578
3090.0	0.319238958153
3120.0	0.315646458591
3150.0	0.311958858734
3180.0	0.310014406601
3210.0	0.30873458454
3240.0	0.306586225197
3270.0	0.303755650121
3300.0	0.299581155368
3330.0	0.29818146181
3360.0	0.297885778782
3390.0	0.297627780846
3420.0	0.293071256787
3450.0	0.292678483809
3480.0	0.290498720397
3510.0	0.289088698415
3540.0	0.286780236008
3570.0	0.284002840013
3600.0	0.281756873345
3630.0	0.280971327391
3660.0	0.277807223384
3690.0	0.274036218354
3720.0	0.273255858363
3750.0	0.272233789616
3780.0	0.27109110239
3810.0	0.270491340954
3840.0	0.269040932317
3870.0	0.266909828293
3900.0	0.264832987501
3930.0	0.264326914627
3960.0	0.264326914627
3990.0	0.263767004212
4020.0	0.263342555995
4050.0	0.262320487248
4080.0	0.259666116513
4110.0	0.254653359127
4140.0	0.253124843054
4170.0	0.250931860597
4200.0	0.249887090654
4230.0	0.249229195917
4260.0	0.248371939139
4290.0	0.246520925645
4320.0	0.245825039274
4350.0	0.238115411802
4380.0	0.237018920574
4410.0	0.235406433474
4440.0	0.232537462919
4470.0	0.230438374487
4500.0	0.225336141975
4530.0	0.224341866031
4560.0	0.221334074419
4590.0	0.220837550089
4620.0	0.218298218323
4650.0	0.215837894849
4680.0	0.213687085133
4710.0	0.212740115436
4740.0	0.211329245604
4770.0	0.207768661451
4800.0	0.206031234791
4830.0	0.201784191844
4860.0	0.20039100299
4890.0	0.197612605725
4920.0	0.194078034002
4950.0	0.191059458151
4980.0	0.186241052707
5010.0	0.182869427048
5040.0	0.180289447688
5070.0	0.178555646665
5100.0	0.176752946315
5130.0	0.175344889783
5160.0	0.174482633523
5190.0	0.172893915967
5220.0	0.171855134803
5250.0	0.170751209736
5280.0	0.169021482359
5310.0	0.169021482359
5340.0	0.167605264509
5370.0	0.166845790066
5400.0	0.165056778062
5430.0	0.164364257286
5460.0	0.164364257286
5490.0	0.164364257286
5520.0	0.162979215735
5550.0	0.162291191848
5580.0	0.161278708941
5610.0	0.160932448554
5640.0	0.158374548585
5670.0	0.157278057357
5700.0	0.156729811743
5730.0	0.156729811743
5760.0	0.156388048243
5790.0	0.156388048243
5820.0	0.156388048243
5850.0	0.156388048243
5880.0	0.155839802629
5910.0	0.149922503879
5940.0	0.147996958307
5970.0	0.146900467079
6000.0	0.144262280868
