# item	Ave.	S.D.
########################

X	3.8036	2.641
Y	3.4817	2.5535
Z	3.4591	2.5505
#####
E2E	7.1521	2.7207
<R^2>^1/2	7.6521	6.5057
#####
bond_JP-Chn	1.0078	0.1387
bond_Chain	1.0076	0.1387
#####
angle_AAA	89.8705	39.1756
#####
