# item	Ave.	S.D.
########################

X	4.2228	2.5753
Y	4.2185	2.5753
Z	4.2183	2.5582
#####
E2E	8.1385	2.6449
<R^2>^1/2	8.5575	6.7101
#####
bond_JP-Chn	1.004	0.045
bond_Chain	1.0041	0.045
#####
angle_AAA	89.45	39.172
#####
