# item	Ave.	S.D.
########################

X	3.4872	2.6072
Y	3.5208	2.63
Z	3.4559	2.5891
#####
E2E	6.9751	2.875
<R^2>^1/2	7.5444	6.7027
#####
bond_JP-Chn	1.0077	0.1384
bond_Chain	1.0077	0.1386
#####
angle_AAA	89.9117	39.1759
#####
